Book,Publisher,Category,Subcategory,State/Country,Date,Month,Year,Host,Meeting No.,Contributor,Composite,Aaron T.,Adam H.,Adam W.,Alex Ha.,Alex He.,Alex M.,Alex S.,Allen M.,Andrew F.,Andrew P.,Andrew S.,Anfernee A.,Annie H.,Ben C.,Ben S.,Ben W.,Bill K.,Bobby T.,Brant C.,Brian La.,Brian Li.,Carl R.,Charlie D.,Charlie M.,Chelsea P.,Chris G.,Chris J.,Chris Mo.,Chris My.,Colin J.,Cory P.,Dan S.,Darrell L.,Dave E.,Dave S.,David A.,David J.,David W.,Denis M.,Dick K.,DJ W.,Donny H.,Drew B.,Dustin S.,Eric A.,Eric B.,Eric H.,Erik W.,Forrest T.,Frank B.,Greg A.,Ian S.,Jake W.,James E.,Jason F.,Jason M.,Jason S.,Jayson L.,Jeremy S.,Jesse J.,Jim B.,Jim C.,Joe C.,Joe J.,Joe S.,Joel B.,John S.,John V.,Jordyn P.,Josh J.,Josh R.,Juan B.,Katie S.,Kevin V.,Kevin W.,Lauren D.,Lee M.,Maridee R.,Mark A.,Mark N.,Matt A.,Matt G.,Matt S.,Matt T.,Matthew S.,Merritt W.,Michael P.,Mike M.,Mike V.,Nate M.,Nick K.,OJ W.,Paul H.,Paul K.,Paul W.,Phil H.,Phil W.,Rachel H.,Renee K.,Richard A.,Rick S.,Rob C.,Rusty O.,Ryan F.,Ryan Y.,Sam E.,Sam S.,Sara P.,Sarah G.,Scott M.,Scott T.,Shelley B.,Steve B.,Steve D.,Steve M.,Steve P.,Steve S.,Steve W.,Stuart W.,Tim H.,Tony H.,Tony W.,Trent D.,Tyler S.,Wes B.,Zach M.
Wedge Lime Lager,Listermann Brewing Co.,Lager,American Light Lager,Ohio,7/5/2019,July,2019,Dave E.,75,Dave E.,2.43,2.00,,,,,,,,,,,,,,,3.00,,,,,,,1.00,,,,,,,,,,,2.50,,,,,,,,,1.00,,,,,,,,,,1.75,,,3.25,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,2.75
Wobble IPA,Two Brothers Brewing Co.,IPA,American IPA,Illinois,3/26/2015,March,2015,Joel B.,23,Dave E.,2.43,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,1.00,,,,,,,,,,,,,4.00,,,,,,3.00,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,
Chocolate Cherry Bomb,Ellicottville Brewing Co.,Stout,American Imperial Stout,New York,12/20/2024,December,2025,Paul W.,138,Charlie D.,2.43,,,,,,,,,,,,,,,,,1.00,3.50,,,,,2.00,,,,,,,,,,,3.00,,0.25,,,,,,,,,3.50,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,2.25,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,
Black Label,Pabst Brewing Co.,Lager,American Light Lager,California,12/2/2016,December,2017,Paul W.,44,Paul W.,2.42,,,,,,,,,,,,,,,,3.50,,2.00,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,2.25,,2.00,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,1.50,,2.00,,1.75,,,,2.75,,,,,,,,,,,,3.00,4.25,,,,,,,,,,2.75,,,,,2.00,,,,,,2.75,,,,,,1.75,,,
Bodhi Double India Pale Ale,Columbus Brewing Co.,IPA,Double IPA,Ohio,1/9/2026,January,2026,Paul W.,151,Erik W.,2.42,,,,,,,,,,,,,,,3.00,,,2.50,,,,,2.00,,,,,,,,,,,2.00,,2.00,,,,,,,,,,,2.25,2.50,,,,,3.00,,,,,2.25,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,2.00,3.25,,,,,,2.75,,,2.50,,,,,,,2.75,,,,,,,,,,,,,,,2.00
Dank Demon Imperial Dank IPA,Great Lakes Brewing Co.,IPA,Imperial IPA,Ohio,12/9/2022,December,2023,Paul W.,114,Scott T.,2.42,,,,,,,,,,,,,,,,,,2.25,,,,,2.00,,,,,,,,,,,2.50,,,,,,,,,2.50,,,,,,,,,,3.25,,,2.75,,,3.50,,,,,2.25,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,2.00,2.00,,,,,,,,,,,,,2.25,,,3.00,,,,2.00,,,,,,,,,,,2.25
Sour Monkey Sour Tripel,Victory Brewing Co.,Tripel,Belgian Tripel,Pennsylvania,4/19/2024,April,2024,Joe J.,130,Dave E.,2.42,,,,,,,,,,,,,,,2.75,,1.00,,,,,,,,,,,,,,2.25,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krombacher Dark,Krombacher Brauerei,Schwarzbier,,Germany,9/28/2018,September,2018,Aaron T. and Jeremy S.,65,Jason F.,2.41,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,1.50,,,,,,,,2.25,,4.00,2.50,,,3.00,,,,,,,,,,,,3.00,,,,2.00,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,
Peel Out Banana Cream Pie Hefeweizen,Fifty West Brewing Co.,Wheat,Hefeweizen,Ohio,6/17/2021,June,2021,Jason M.,96,Paul K.,2.41,,,,,,,,,,,,,,,3.00,,,,,,,,1.50,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,2.25,,2.50,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
Hofbrau Original,Hofbrauhaus Munchen,Lager,Helles Lager,Germany,1/9/2026,January,2026,Paul W.,151,Scott T.,2.41,,,,,,,,,,,,,,,3.50,,,2.00,,,,,2.00,,,,,,,,,,,2.00,,2.50,,,,,,,,,,,2.00,2.00,,,,,2.00,,,,,2.25,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,3.00,2.75,,,,,,2.00,,,2.00,,,,,,,2.75,,,,,,,,,,,,,,,3.25
Narragansett Lager,Narragansett Brewing Co.,Lager,American Adjunct Lager,Rhode Island,12/20/2024,December,2025,Paul W.,138,Jake W.,2.40,,,,,,,,,,,,,,,,,3.00,2.00,,,,,2.00,,,,,,,,,,,2.00,,3.00,,,,,,,,,2.00,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,2.75,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,
Double Knotted Imperial German Pretzel Ale,Third Eye Brewing Co.,Rye,,Ohio,6/27/2025,June,2025,Sara P.,144,Paul K.,2.40,,,,,,,,,,,,,,,3.25,,,1.75,,,,,1.50,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,4.00,,,,,,,,,,2.75,,,,,,,0.50,,,,,,,2.25,3.00,,,,,,,,,,,,,,,,,2.50
Robe Red Velvet Donut Stout,Streetside Brewery,Stout,American Imperial Stout,Ohio,12/6/2019,December,2020,Paul W.,80,Jeremy S.,2.39,1.00,,,,,,,,,,,,,,,0.50,,3.50,,,,,2.75,,,3.00,,,,,,,,2.50,,,,,,,,,,,3.25,,2.25,,,,1.50,,2.50,,,2.00,,,3.50,,,,,,,,,,,,2.75,,,,,,3.25,,,,,,,,,,,,,,,,,3.00,2.00,,,,,,,,,,,,,,,,2.75,,,,,,2.00,,,,,,,,1.50,
Winter Warmer Ale,Elevator Brewing Co.,Winter,,Ohio,12/13/2013,December,2013,Paul W.,8,David J.,2.39,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,1.50,,,5.00,,1.00,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,3.50,2.50,,,,,,,,,,2.50,,,,,2.50,,,2.50,,,,,,,0.00,,3.50,,,
Double Fractal Circular Invasion Double India Pale Ale,Equilibrium Brewery,IPA,Double IPA,New York,7/31/2024,July,2024,Dave E.,133,Ben S.,2.39,,,,,,,,,,,,,,,2.75,,3.00,,,,,,2.00,,,,,,,,,,,2.00,,,,,,,,,,,,,3.50,,,,,,4.00,,,3.00,,,,,,,,1.50,,,,,,,,2.50,,,,,3.50,,,,,,,2.50,,,,,,,,,,,,,,0.50,,,,,,,,,,1.50,2.00,,1.50,,,,,,,,,,,,,,,2.50
Coast to Coast India Pale Ale,Fifty West Brewing Co.,IPA,American IPA,Ohio,8/31/2020,August,2020,Jeremy S.,86,Jake W.,2.39,3.50,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,1.25,,,,,,,,,,,2.00,,,,,,3.00,,3.00,,,2.50,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a Lot Cooler If You Did Imperial Cherry Pie Berliner Weisse,Streetside Brewery,Sour,Berliner Weisse,Ohio,11/23/2022,November,2022,Matt T.,113,Dave E.,2.39,,,,,,,,,,,,,,,,1.50,,2.25,,,,,,,,,,,,,,,,2.50,,,,,,,,,1.50,,,,,,,,,,2.50,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,3.50,,,,,,,,,,,3.75,,,1.75,,,,,,,,,,,,,,,1.25
Kronenbourg,Brasseries Kronenbourg,Lager,European Pale Lager,France,6/24/2014,June,2014,Scott T.,14,Eric H.,2.38,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,2.00,,,,1.50,,,,,3.00,,,,,,,,3.00,,,,,,2.00,,,,,,,,,,2.50,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,2.00,,,,,2.50,,,,,,,,,,,,2.00,,,
Cynic Ale,Surly Brewing Co.,Saison,,Minnesota,7/30/2014,July,2014,Dave E. and Jake W.,15,Colin J.,2.38,,,,2.50,5.00,,,,,,,,,,,,,,,,,,,2.50,,,,,,4.50,,3.50,,2.50,,,,,,,,,,,2.50,,1.00,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,3.00,,,,,,,,,,,,0.50,,,,,,,,,,,1.50,,,,,3.50,,,,,,,,,,3.00,,2.50,1.00,,
7th Inning Stretch,Taft's Brewing Co.,Pale Ale,American Pale Ale,Ohio,7/22/2015,July,2015,Trent D.,27,Mike M.,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,2.00,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,2.50,,,,,,,,,,,2.00,,,,,2.00,,,,,,,,,,,,2.00,,,
Mello Hello Brut Style IPA,Platform Beer Co.,IPA,Brut IPA,Ohio,3/22/2019,March,2019,Jason M.,71,Dave E.,2.38,3.50,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,2.00,,,,,,,,3.50,,,3.25,,,2.00,,,,,,,,,,,,2.00,,,,2.50,,1.00,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
Dukes of Ripstick Super Party Pale Ale,Hoof Hearted Brewing,Pale Ale,American Pale Ale,Ohio,4/29/2023,April,2023,Ben W.,118,Tony H.,2.38,,,,,,,,2.75,,,,,,,,1.00,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,3.00,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,
Jalapeño Pale Ale,Birdsong Brewing,Chili,,North Carolina,12/15/2023,December,2024,Paul W.,126,Bill K.,2.36,,,,,,,,,,,,,,,2.75,,3.00,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,2.25,,,,,2.25,,,,,,,,,,,,1.00,,,,,,,,3.00,,,,,,,,,,,2.75,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,1.25
Samuel Adams Merry Maker Gingerbread Stout,Boston Beer Co.,Stout,Sweet/Milk Stout,Massachusetts,12/13/2013,December,2013,Paul W.,8,Mike M.,2.36,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,1.00,,,,,1.00,,,,,,,,3.50,,,,,,3.00,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,2.00,4.00,,,,,,,,,,3.00,,,,,4.00,,,0.50,,,,,,,0.50,,2.50,,,
Kentucky Rye Barrel IPA,Alltech's Lexington Brewing Co.,IPA,Rye IPA,Kentucky,3/26/2015,March,2015,Joel B.,23,Eric H.,2.36,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,2.00,,,,,,,,,,,,,3.00,,,,,,1.00,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,
Sum'r Summer Ale,Uinta Brewing Co.,Blonde,American Blonde,Utah,3/26/2015,March,2015,Joel B.,23,Brian Li.,2.36,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,2.00,,,,,,,,,,,,,3.00,,,,,,2.50,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,
High Life Lite,Miller Brewing Co.,Lager,American Light Lager,Colorado,11/21/2014,November,2014,Denis M.,19,Phil H.,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,2.00,,,,,1.50,,,,,,,,1.50,,,,,2.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,1.50,,,,,,,,,,3.50,,,,,
Pho King Christmas Ale,HighGrain Brewing Co.,Christmas,,Ohio,12/10/2021,December,2022,Paul W.,102,Paul K.,2.35,,,,,,,,,,,,,,,2.75,,,2.50,,,,,1.50,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,2.75,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,2.25,,,,,,,,,,,,,,,,2.00,,,,,,3.00,,,,,,,,,
Artic Saison,Grassroots Brewing,Saison,,Vermont,4/17/2015,April,2015,Phil H.,24,Phil H.,2.33,,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,1.00,,,,,2.50,,,,,,,,2.00,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,1.50,5.00,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,
Dreamsicle,MadTree Brewing Co.,Kolsch,,Ohio,7/22/2015,July,2015,Trent D.,27,Matt T.,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,3.00,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,1.00,,,,,,,2.50,,,,,,,,,,,2.00,,,,,3.00,,,,,,,,,,,,1.50,,,
Samuel Adams Rebel IPA,Boston Beer Co.,IPA,American IPA,Massachusetts,11/19/2015,November,2015,Matt S.,31,Jake W.,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,1.00,,,,,,,,,,,2.50,,2.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,1.50,,,,,3.00,,,,,,,,,,,,1.50,,,
Maple Porter,ESB,Porter,English Porter,Canada,4/22/2016,April,2016,Tony H.,36,Dave E.,2.33,,,,,,,,,,,,,,,,0.50,,3.50,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,3.00,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,3.50,,,,,,,,,,,,,,,3.00,,,,,,,,,,1.00,,,,,
Plum Street Wheat,Christian Moerlein Brewing Co.,Wheat,American Pale Wheat,Ohio,4/22/2016,April,2016,Tony H.,36,Tony H.,2.33,,,,,,,,,,,,,,,,2.50,,2.00,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,2.50,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,4.50,,,,,,,,,,,,,,,2.50,,,,,,,,,,2.50,,,,,
Golden Monkey Belgian-Style Tripel Ale,Victory Brewing Co.,Tripel,Belgian Tripel,Pennsylvania,7/9/2021,July,2021,Dave E.,97,Ben W.,2.33,,,,,,,,,,,,,,,,2.50,,,,,,,2.50,,,,,,,,,,,1.75,,,,,,,,,2.50,,,,,,,,2.75,,2.50,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,
Cincinnati Fan Zone India Pale Ale,Ellicottville Brewing Co.,IPA,American IPA,New York,3/30/2025,March,2025,Zach M.,141,Jake W.,2.33,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,2.50,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
LaRosa's Lager,Braxton Brewing Co.,Lager,American Lager,Kentucky,7/31/2024,July,2024,Dave E.,133,Joe J.,2.33,,,,,,,,,,,,,,,2.25,,2.75,,,,,,2.00,,,,,,,,,,,2.00,,,,,,,,,,,,,2.00,,,,,,2.50,,,2.50,,,,,,,,3.00,,,,,,,,2.00,,,,,2.50,,,,,,,3.50,,,,,,,,,,,,,,1.50,,,,,,,,,,2.25,2.00,,2.25,,,,,,,,,,,,,,,2.25
Max Rebo's Galactic Sour,J. Wakefield Brewing,Sour,Fruited Sour,Florida,5/9/2023,May,2023,Jake W.,119,Dave E.,2.33,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,0.50,,,,,4.00,,,,,2.25,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,1.50,0.50,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,
Northern Liberties IPA,Christian Moerlein Brewing Co.,IPA,American IPA,Ohio,5/13/2014,May,2014,Colin J.,13,Steve D.,2.32,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,1.50,,,,1.50,,,,,,,,1.50,,,,,4.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,,3.00,,,,,,,,,,0.50,,,,,,,,,,,,,2.00,,,,,2.50,,,4.00,,,,,,,1.50,,2.50,,,
Freedom Reserve Red Lager,Anheuser-Busch,Amber,,Missouri,7/6/2018,July,2018,Dave E.,63,Sam E.,2.32,2.50,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,1.75,,,,,,,,,,,2.00,,2.50,,,,,,1.25,,2.00,2.00,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,3.50,,,,,,,,,,,2.00,,,,,,,,,,,,3.50,,,,,2.25,,3.75,,,,,,,,,,,,,
Snowdrift Vanilla Porter,Jacob Leinenkugel Brewing Co.,Porter,American Porter,Wisconsin,12/13/2013,December,2013,Paul W.,8,Denis M.,2.31,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,1.50,2.00,,1.50,,3.50,,,,,,,,2.50,,,,,,2.50,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,3.00,1.00,,,,,,,,,,1.50,,,,,2.00,,,3.50,,,,,,,2.50,,2.50,,,
Liliko'i Kepolo Belgian-Style White Ale,Avery Brewing Co.,Wheat,Witbier,Colorado,10/12/2017,October,2017,Matt S.,54,Paul K.,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,2.00,,,2.50,,,,,,,,3.00,,,,,,2.00,,,,,,,,,,,,,,,,2.00,,,,,,,,2.00,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumber Sexual American DIPA,RaR Brewing,IPA,Double IPA,Maryland,9/26/2023,September,2023,Charlie D.,123,Dave E.,2.31,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,2.25,,,,,,,,,2.00,,,,,,
NaPali Pale Ale,Kaua'i Island Brewing Co.,Pale Ale,American Pale Ale,Hawaii,4/25/2025,April,2025,Paul K.,142,Paul K.,2.31,,,,,,,,,,,,,,,3.25,,2.50,,,,,,,,,,,,,,,,,2.50,,2.00,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2.00,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,
Go West! IPA,Anchor Brewing Co.,IPA,American IPA,California,3/30/2016,March,2016,Jake W.,35,Jake W.,2.30,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,2.00,2.00,,,,,,,,,,,2.00,,4.00,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,2.50,,,,2.00,,,,,
Dundee Original Honey Brown Lager,Dundee Brewing Co.,Brown,,New York,10/26/2015,October,2015,Scott T.,30,Matt T.,2.29,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,2.00,,,,1.50,,,,,,,,,,,,,2.00,,,,,,3.00,,,,,,,,,2.00,,,,,,,,,,,,,1.00,,,,2.00,,,,,4.00,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,3.00,,,2.50,,,,,,,,,,,,
Sweater Party Spiced Winter Warmer,Avery Brewing Co.,Winter,,Colorado,12/6/2019,December,2020,Paul W.,80,Greg A.,2.29,2.00,,,,,,,,,,,,,,,1.00,,2.50,,,,,2.25,,,3.00,,,,,,,,1.00,,,,,,,,,,,2.00,,3.00,,,,3.50,,2.50,,,3.00,,,1.50,,,,,,,,,,,,2.00,,,,,,2.00,,,,,,,,,,,,,,,,,2.50,2.25,,,,,,,,,,,,,,,,2.00,,,,,,2.50,,,,,,,,3.00,
Ready Set Gose,Uinta Brewing Co.,Sour,Gose,Utah,6/6/2016,June,2016,Eric A.,38,Jake W.,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,2.00,,2.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,
Belgian-Style Amber Ale,Dark Horse Brewing Co.,Amber,Belgian Amber,Michigan,3/22/2017,March,2017,Scott T.,47,Jake W.,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,2.50,,2.00,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,
IPA,Full Sail,IPA,American IPA,North Carolina,6/4/2013,June,2013,Jake W.,1,Phil H.,2.28,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,4.00,,,,,,,,,1.50,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,3.50,,,,,,,2.00,,,,,,,,2.00,,,,,,,,,,2.00,,,,,
Baltika 5,Baltika Breweries,Lager,European Pale Lager,Russia,4/17/2014,April,2014,Tony H.,12,Tony H.,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,2.00,,,,,,,,,,,,,2.00,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,2.00,,,,,,,,,,,3.00,,,,,2.00,,,,,,,,,,3.00,,,,,
Mr. Mean Imperial IPA,Warped Wing Brewing Co.,IPA,Imperial IPA,Ohio,11/19/2015,November,2015,Matt S.,31,Sam E.,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,1.00,,,,,,,,,,,2.00,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,2.50,,,,,,,,,,,,2.00,,,
UDF Strawberry Milkshake IPA,Taft's Brewing Co.,IPA,Milkshake IPA,Ohio,5/26/2022,May,2022,Paul K.,107,Paul K.,2.28,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,2.50,,,,,,,,,,1.00,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,4.00,,,,,,1.25,,,,,,,,,,,,,,,2.75
Ryeway to Heaven Rye Ale,Revolution Brewing,Rye,,Illinois,1/31/2025,January,2025,Scott T.,139,Dave E.,2.28,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,1.75,,1.00,,,,,,,1.75,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,2.00,,,,,,,,,,,,,,,
Dorothy's New World Lager,Toppling Goliath Brewing Co.,California Common,,Iowa,1/30/2020,January,2020,Scott T.,81,Jake W.,2.27,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,2.50,,,,2.00,,,,,,2.50,,,,,,2.50,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,2.75,,,,,2.25,,,,,2.00,,,,2.00,
Don't Microwave It Don't Boil It Sour IPA,Hoof Hearted Brewing,IPA,Sour IPA,Ohio,7/28/2022,July,2022,Dave E.,109,Dave E.,2.27,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,2.00,,1.75,,3.00,,,,,,2.25,,,,,,,,,,,3.75,,,,,,,,0.50,,,,,,,,,,,,2.50,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,1.75
Hefeweizen,Hofbrauhaus ,Wheat,Hefeweizen,Kentucky,8/12/2013,August,2013,Scott T.,4,Jake W.,2.25,,2.50,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,2.00,,,,,2.00,,,,,,,,,,,,,,1.50,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,2.00,2.50,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,
Creme Brulee,Southern Tier Brewing Co.,Stout,Sweet/Milk Stout,New York,5/13/2014,May,2014,Colin J.,13,Trent D.,2.25,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,2.00,,,,3.50,,,,,,,,2.50,,,,,1.50,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,2.00,,,,,,,,,,1.50,,,,,,,,,,,,,1.00,,,,,3.50,,,1.50,,,,,,,1.00,,4.50,,,
